Symbol,Buy_price,Net_wealth,Profit_ratio,Name,Sector
CMA,73.23999786376953,-3.250007629394517,-4.437476412055216,Comerica Inc.,Financials
CMCSA,43.77999877929688,-6.650001525878906,-15.189588193921159,Comcast Corp.,Communication Services
CME,179.13999938964844,-4.179992675781278,-2.3333664675801145,CME Group Inc.,Financials
CMG,742.27001953125,190.32989501953125,25.641598072319592,Chipotle Mexican Grill,Consumer Discretionary
CMI,168.0,26.680007934570312,15.8809571039109,Cummins Inc.,Industrials
CMS,55.5,11.229999542236321,20.23423340943481,CMS Energy,Utilities
CNC,55.29999923706055,2.559997558593764,4.6292904049049675,Centene Corporation,Health Care
CNP,31.03000068664551,-5.579999923706055,-17.982596842505192,CenterPoint Energy,Utilities
COF,92.83000183105469,2.0999984741210938,2.2621980315620065,Capital One Financial,Financials
COG,27.420000076293945,-4.030000686645511,-14.697303703254407,Cabot Oil & Gas,Energy
COO,289.0899963378906,66.44998168945312,22.98591529669739,The Cooper Companies,Health Care
COP,60.7599983215332,-0.7200012207031392,-1.184992166874324,ConocoPhillips,Energy
COST,305.29998779296875,-6.42999267578125,-2.1061228080171372,Costco Wholesale Corp.,Consumer Staples
COTY,12.380000114440918,-2.390000343322752,-19.305333774067453,Coty Inc,Consumer Staples
CPB,43.11000061035156,-3.789997100830078,-8.791456847996484,Campbell Soup,Consumer Staples
CPRT,83.55000305175781,13.139991760253906,15.727099078756352,Copart Inc,Industrials
CRM,160.8300018310547,2.4000091552734375,1.4922645824468426,Salesforce.com,Information Technology
CSCO,53.54999923706055,-6.520000457763665,-12.175537909721095,Cisco Systems,Information Technology
CSX,77.94000244140625,-10.389991760253906,-13.330756267380023,CSX Corp.,Industrials
CTAS,261.98001098632807,50.209991455078125,19.165581093779874,Cintas Corporation,Industrials
CTL,11.40999984741211,-2.6600008010864276,-23.312890768265344,CenturyLink Inc,Communication Services
CTSH,65.19999694824219,-18.330001831054716,-28.11350105676485,Cognizant Technology Solutions,Information Technology
CTVA,29.46999931335449,-2.439998626708988,-8.279601912319318,Corteva,Materials
CTXS,100.37000274658205,19.530006408691435,19.4580112327002,Citrix Systems,Information Technology
CVS,56.47999954223633,18.960002899169908,33.56941050431741,CVS Health,Health Care
CVX,121.83999633789062,-16.61999511718747,-13.640836848924687,Chevron Corp.,Energy
CXO,117.54000091552734,-16.219997406005852,-13.799555283024631,Concho Resources,Energy
C,66.09999847412111,5.75999832153321,8.71406725340291,Citigroup Inc.,Financials
DAL,56.22999954223633,-1.3500022888183594,-2.4008577268515277,Delta Air Lines Inc.,Industrials
DD,80.2011947631836,-31.539657592773438,-39.3256705039159,DuPont de Nemours Inc,Materials
DE,165.0399932861328,-25.919998168945312,-15.705283097053538,Deere & Co.,Industrials
DFS,77.62999725341797,2.9600028991699148,3.8129627771429413,Discover Financial Services,Financials
DGX,90.56999969482422,-1.6299972534179688,-1.7997099027384869,Quest Diagnostics,Health Care
DG,119.6999969482422,28.50999450683595,23.817874046532815,Dollar General,Consumer Discretionary
DHI,45.61999893188477,15.839996337890618,34.721606113014865,D. R. Horton,Consumer Discretionary
DHR,142.14999389648438,6.799987792968778,4.783670830067447,Danaher Corp.,Health Care
DISCA,31.0,-2.0199985504150426,-6.516124356177556,Discovery Inc. (Class A),Communication Services
DISCK,28.96999931335449,-2.2600002288818324,-7.801174602858985,Discovery Inc. (Class C),Communication Services
DISH,36.79999923706055,1.150001525878924,3.125004211197864,Dish Network,Communication Services
DIS,115.83000183105469,41.449996948242145,35.78519925148543,The Walt Disney Company,Communication Services
DLR,124.0,-20.209999084472656,-16.29838635844569,Digital Realty Trust Inc,Real Estate
DLTR,111.12000274658205,10.639999389648438,9.575233195335494,Dollar Tree,Consumer Discretionary
DOV,96.33000183105469,5.839996337890611,6.062489595020358,Dover Corporation,Industrials
DOW,51.56999969482422,1.1799964904785227,2.288145234557665,Dow Inc.,Materials
DPZ,268.67001342773443,55.26998901367182,20.571699948397136,Domino's Pizza,Consumer Discretionary
DRE,31.149999618530273,-0.8500061035156179,-2.728751569582597,Duke Realty Corp,Real Estate
DRI,120.19000244140624,-29.999992370605483,-24.96047238640399,Darden Restaurants,Consumer Discretionary
DTE,131.72999572753906,-8.599998474121037,-6.528504329347023,DTE Energy Co.,Utilities
DUK,90.4499969482422,-8.290000915527358,-9.165286009098605,Duke Energy,Utilities
DVA,56.54999923706055,1.9899978637695455,3.519005995786791,DaVita Inc.,Health Care
DVN,29.04999923706055,-6.289999961853024,-21.652324017373996,Devon Energy,Energy
DXCM,123.33999633789062,133.18000030517584,107.97795059141113,DexCom,Health Care
DXC,55.54999923706055,-21.27999782562255,-38.30782739493804,DXC Technology,Information Technology
D,78.30999755859375,6.2400054931640625,7.968338255272086,Dominion Energy,Utilities
EA,98.04000091552734,12.429992675781222,12.678490982972429,Electronic Arts,Communication Services
EBAY,38.38000106811523,-0.659992218017571,-1.7196253247785072,eBay Inc.,Consumer Discretionary
ECL,192.9499969482422,37.7300109863281,19.554294678972695,Ecolab Inc.,Materials
ED,88.52999877929688,-16.66999053955078,-18.829764790925456,Consolidated Edison,Utilities
EFX,124.0,20.890007019042883,16.846779854066842,Equifax Inc.,Industrials
EIX,65.91999816894531,1.989997863769517,3.018807522823929,Edison Int'l,Utilities
EL,178.5800018310547,-11.290008544921903,-6.322101259469577,Estée Lauder Companies,Consumer Staples
EMN,84.12000274658203,0.14999771118164062,0.17831396372337296,Eastman Chemical,Materials
EMR,66.58999633789061,3.349994659423821,5.030777659793365,Emerson Electric Company,Industrials
EOG,97.7699966430664,-20.629993438720668,-21.100536102129134,EOG Resources,Energy
EQIX,534.8300170898439,-39.47003173828159,-7.379920811671867,Equinix,Real Estate
EQR,83.98999786376953,-5.410003662109375,-6.441247529121642,Equity Residential,Real Estate
ESS,289.69000244140625,14.009994506835938,4.836202281322998,Essex Property Trust Inc.,Real Estate
ES,84.08000183105469,-4.649993896484375,-5.530439813533537,Eversource Energy,Utilities
ETFC,48.13000106811523,-26.38000488281247,-54.80989881026302,E*Trade,Financials
ETN,82.88999938964844,0.3700103759765625,0.4463872345290071,Eaton Corporation,Industrials
ETR,118.5500030517578,13.02999877929689,10.991141665013805,Entergy Corp.,Utilities
EVRG,58.43999862670898,9.869998931884773,16.88911561228864,Evergy,Utilities
EW,61.9000015258789,15.766674041748047,25.471201378171827,Edwards Lifesciences,Health Care
EXC,50.66999816894531,-5.209999084472678,-10.28221683983756,Exelon Corp.,Utilities
EXPD,77.1500015258789,-5.1399993896484375,-6.662345156175137,Expeditors,Industrials
EXPE,127.05999755859376,-38.169982910156264,-30.040912673994157,Expedia Group,Consumer Discretionary
EXR,108.2300033569336,-7.760002136230483,-7.169917671201246,Extra Space Storage,Real Estate
FANG,105.05999755859376,-28.720016479492266,-27.336776267746078,Diamondback Energy,Energy
FAST,32.810001373291016,6.849998474121108,20.87777563976986,Fastenal Co,Industrials
FBHS,54.29999923706055,17.41999816894532,32.08102838619548,Fortune Brands Home & Security,Industrials
FB,192.0,40.26000976562494,20.96875508626299,Facebook Inc.,Communication Services
FCX,11.789999961853027,-2.0800008773803658,-17.64207704928146,Freeport-McMoRan Inc.,Materials
FDX,178.1300048828125,-103.70999908447266,-58.22152149644918,FedEx Corporation,Industrials
FE,42.2400016784668,0.6899986267089915,1.6335194112000722,FirstEnergy Corp,Utilities
FFIV,167.86000061035156,-1.2400131225586506,-0.7387186453293637,F5 Networks,Information Technology
FISV,88.97000122070312,14.039993286132827,15.78059243958485,Fiserv Inc,Information Technology
FIS,133.58999633789062,17.540008544921875,13.129732035142618,Fidelity National Information Services,Information Technology
FITB,27.809999465942386,-1.6500015258789205,-5.9331231843409435,Fifth Third Bancorp,Financials
FLIR,55.1500015258789,-19.789997100830078,-35.88394660613691,FLIR Systems,Information Technology
FLS,50.0,-15.589998245239268,-31.179996490478533,Flowserve Corporation,Industrials
FLT,274.07998657226557,-25.470001220703068,-9.292908081045711,FleetCor Technologies Inc,Information Technology
FMC,80.37000274658203,1.8600006103515625,2.314297059583794,FMC Corporation,Materials
FOXA,37.040000915527344,0.34999656677245383,0.9449151137189461,Fox Corporation (Class A),Communication Services
FOX,36.40999984741211,-0.12999725341796164,-0.3570372259345158,Fox Corporation (Class B),Communication Services
FRC,105.25,2.72998046875,2.5938056710213777,First Republic Bank,Financials
FRT,136.22000122070312,-21.84999084472655,-16.04022217656956,Federal Realty Investment Trust,Real Estate
